Word	Label
[unused2]	latin
۹	arabic
ਘ	punjabi
ਢ	punjabi
ਜ਼	punjabi
ઘ	gujarati
ﭘ	arabic
તેમ	gujarati
شہر	arabic
પણ	gujarati
ئي	arabic
অবস্থিত	ben_ass
వ్యవసాయానికి	telugu
மாவட்டம்	tamil
धेरै	deva
தமிழ்நாடு	tamil
रोजी	deva
విధంగా	telugu
संस्था	deva
പുറത്തേക്കുള്ള	malayalam
चे	deva
Life	latin
Hindi	latin
ਮੌਤ	punjabi
تاسیسات	arabic
పురుషుల	telugu
திருக்கோயில்	tamil
اُن	arabic
sarkaar	latin
تھیں	arabic
नए	deva
గణాంకాలు	telugu
మంది	telugu
परीक्षा	deva
ফেব্রুয়ারি	ben_ass
تحریک	arabic
చేశారు	telugu
நடைபெறுகிறது	tamil
ਕਵੀ	punjabi
ત્યાં	gujarati
முறையில்	tamil
పోతోంది	telugu
ನ್ನು	kannada
ਅਰਥ	punjabi
વખત	gujarati
ৰাষ্ট্ৰীয়	ben_ass
حساب	arabic
कार	deva
तथापि	deva
لکھا	arabic
பிரதேச	tamil
होतात	deva
ٹیلی	arabic
வயது	tamil
اھو	arabic
১৯৯৭	ben_ass
tave	latin
പ്രദേശം	malayalam
وسطی	arabic
മരണം	malayalam
اٿس	arabic
সমান	ben_ass
بہترین	arabic
તેમનો	gujarati
गिरफ्तार	deva
vich	latin
Major	latin
ધી	gujarati
جڑواں	arabic
മാറ്റി	malayalam
পুনরায়	ben_ass
இறுதியில்	tamil
ಹಣ	kannada
ਥਿਊਰੀ	punjabi
نشان	arabic
ಪ್ರಸ್ತುತ	kannada
मुक्ति	deva
ജില്ല	malayalam
lo	latin
ਲੜੀ	punjabi
هزار	arabic
مڪمل	arabic
ਕਿਤਾਬਾਂ	punjabi
শুক্রবার	ben_ass
ఆధారంగా	telugu
ਸਮੇਤ	punjabi
குறைவான	tamil
بجائے	arabic
தொடங்கி	tamil
அமையும்	tamil
తయారు	telugu
सितम्बर	deva
ಕುಮಾರ್	kannada
मते	deva
sari	latin
ਕੱਪ	punjabi
ਪਾਇਆ	punjabi
সময়ে	ben_ass
చేయడం	telugu
ડિસેમ્બર	gujarati
১৯৫৮	ben_ass
लिंक	deva
useful	latin
ഇവയിൽ	malayalam
కుమారుడు	telugu
பரவலாக	tamil
उमेरमा	deva
اھا	arabic
শতাব্দীতে	ben_ass
उदयपुर	deva
مندرجہ	arabic
સ્વરૂપ	gujarati
ਛੋਟਾ	punjabi
ਦਿਹਾਂਤ	punjabi
ਸਕੇ	punjabi
प्रो	deva
গোল্ডেন	ben_ass
સ્તર	gujarati
உறுதி	tamil
पोलीस	deva
ٻيون	arabic
जुन्या	deva
લશ્કરી	gujarati
dewa	latin
धरती	deva
முழுமையான	tamil
অবদানের	ben_ass
ਵਿਰੋਧ	punjabi
அம்மா	tamil
ਇੰਸਟੀਚਿਊਟ	punjabi
১৯৪৪	ben_ass
તહેવારો	gujarati
protected	latin
ਮਿਲਦੀ	punjabi
সংজ্ঞা	ben_ass
ਪ੍ਰਕਾਸ਼ਨ	punjabi
ಜನರಲ್	kannada
पैमाने	deva
ঠাই	ben_ass
ಕಾವ್ಯ	kannada
હિસ્સો	gujarati
गर्नको	deva
severe	latin
അറിയിച്ചു	malayalam
പദവി	malayalam
അച്ഛൻ	malayalam
পৃথিবী	ben_ass
प्रकारची	deva
दिलीप	deva
তুলনা	ben_ass
ਵਿਗਿਆਨਕ	punjabi
ਮੀਲ	punjabi
ಒಟ್ಟಾರೆ	kannada
ਜਾਤੀ	punjabi
جيل	arabic
ਉਲਟ	punjabi
మహా	telugu
বৰ্ণনা	ben_ass
ಹೋಗುವ	kannada
உதவுகிறது	tamil
പോലെയുള്ള	malayalam
یکم	arabic
परियोजनामा	deva
nite	latin
કૃષ્ણ	gujarati
സംബന്ധിച്ച്	malayalam
కుటుంబం	telugu
పెట్టి	telugu
৫৬	ben_ass
ફિલ્મો	gujarati
నటి	telugu
ಹೊರತು	kannada
સમયના	gujarati
ಹೆಚ್	kannada
دروازہ	arabic
Yale	latin
ಪುರುಷ	kannada
சீனாவின்	tamil
ಶಬ್ದ	kannada
ਕੋਰਟ	punjabi
ಲಾ	kannada
मारुती	deva
શીખ	gujarati
ਪਰੰਤੂ	punjabi
ખેડૂતો	gujarati
તમારા	gujarati
പട്ടണങ്ങൾ	malayalam
ਬਿੰਦੂ	punjabi
குழுவில்	tamil
അവസാനത്തെ	malayalam
எளிதாக	tamil
உதவியுடன்	tamil
اٹھا	arabic
ملڻ	arabic
સાગનાં	gujarati
இங்கிலாந்தின்	tamil
ارجنٹائن	arabic
ਰੱਬ	punjabi
જંગલોથી	gujarati
جذبات	arabic
टक्कर	deva
१७व्या	deva
ਫ਼ਰਾਂਸ	punjabi
ਸਜ਼ਾ	punjabi
સર્વોચ્ચ	gujarati
رياستن	arabic
પદાર્થ	gujarati
যুক্তৰাষ্ট্ৰৰ	ben_ass
మొదలు	telugu
ચિત્રો	gujarati
موقف	arabic
نمائش	arabic
ತಮಗೆ	kannada
प्रगती	deva
जोड़ने	deva
চীনে	ben_ass
ഇംഗ്ലീഷിൽ	malayalam
ഊർജ്ജം	malayalam
শেষত	ben_ass
બાર	gujarati
matahda	latin
پاسو	arabic
புரட்டாசி	tamil
prathmik	latin
ప్రాంతాల్లో	telugu
श्वेत	deva
कुणबी	deva
ਬੋਲ	punjabi
একাদশের	ben_ass
எது	tamil
తిరుమల	telugu
राज्यले	deva
خيالن	arabic
మిగతా	telugu
honored	latin
ಅಕ್ಷಾಂಶ	kannada
deployed	latin
থাকবেন	ben_ass
ವಿಷ್ಣು	kannada
ಪೋಸ್ಟ್	kannada
જરૂરિયાત	gujarati
ਅਸਲੀ	punjabi
Parish	latin
ਪੇਸ਼ਕਾਰੀ	punjabi
ਫਰਾਂਸੀਸੀ	punjabi
त्योहार	deva
ਚੰਗਾ	punjabi
ಬೇಸ್	kannada
لازمي	arabic
उल्लेखित	deva
ജനങ്ങളെ	malayalam
रवींद्र	deva
गेम्स	deva
দফতর	ben_ass
પોસ્ટ	gujarati
ਦਿਖਾਇਆ	punjabi
പന്ത്രണ്ടാം	malayalam
baithe	latin
ಸಮಸ್ಯೆಗಳು	kannada
هوائي	arabic
उपर	deva
ത്	malayalam
لسانیات	arabic
રક્ત	gujarati
ਗਵਰਨਰ	punjabi
Translations	latin
هاڻوڪي	arabic
ఉన్నప్పుడు	telugu
સામગ્રી	gujarati
আলু	ben_ass
మద్దతు	telugu
ৰাজনীতি	ben_ass
hamaara	latin
servant	latin
ನ್ಯೂಸ್	kannada
హౌస్	telugu
মিনার	ben_ass
وڏيون	arabic
విద్యాభ్యాసం	telugu
విద్యను	telugu
শাকিব	ben_ass
ಮರಗಳು	kannada
সাকিব	ben_ass
بھاگ	arabic
ਛੇਤੀ	punjabi
শিৱৰ	ben_ass
transaction	latin
தேர்	tamil
Organisation	latin
വിഗ്രഹം	malayalam
جنگلات	arabic
பாடலை	tamil
مومل	arabic
சுரங்கள்	tamil
بزرگن	arabic
ডেভেলপমেন্ট	ben_ass
ਥੱਲੇ	punjabi
ಜನಪ್ರಿಯತೆ	kannada
hoi	latin
ಡಿಸ್ನಿ	kannada
Quotes	latin
ਦਫ਼ਤਰ	punjabi
பதிவுகள்	tamil
కేసు	telugu
فتوحات	arabic
ఇటువంటి	telugu
بچانے	arabic
മുരളി	malayalam
استحصال	arabic
ప్రపంచవ్యాప్తంగా	telugu
செய்யப்பட்டனர்	tamil
ഇൻഫോ	malayalam
پریشان	arabic
રેલ	gujarati
বয়স্ক	ben_ass
sede	latin
ஹொங்கொங்	tamil
ਉਤਪਤੀ	punjabi
کیوبا	arabic
१६०	deva
priced	latin
പത്മഭൂഷൺ	malayalam
ಸಮಾಧಿ	kannada
बानी	deva
ਸਪਸ਼ਟ	punjabi
B4	latin
జనాభాలో	telugu
achen	latin
Behind	latin
अन्डर	deva
साङ्गीतिक	deva
ભવ્ય	gujarati
उत्पादने	deva
পেট	ben_ass
മാനേജ്മെന്റ്	malayalam
samaaroh	latin
চলাকালে	ben_ass
ਲੱਗਣ	punjabi
পাঁচটা	ben_ass
আবির্ভাব	ben_ass
ਵੇਰਵਾ	punjabi
ಸಂವಿಧಾನ	kannada
పదార్థాలు	telugu
ഉപേക്ഷിച്ചു	malayalam
ആഴം	malayalam
कुंड	deva
റൺസ്	malayalam
కార్బన్	telugu
നിലയിലും	malayalam
વાઘ	gujarati
દરિયા	gujarati
avarai	latin
സൃഷ്ടിച്ച	malayalam
निभाया	deva
ਖਿੱਚ	punjabi
बातमी	deva
امیہ	arabic
દ્રશ્ય	gujarati
কাপোৰ	ben_ass
ఎడమ	telugu
ਅਸਫਲ	punjabi
सौरभ	deva
வெ	tamil
एकजुट	deva
വിശദീകരണം	malayalam
Update	latin
هاشم	arabic
ஆண்டிற்கான	tamil
ਮਿੱਤਰ	punjabi
ఇద్దరూ	telugu
സമ്മാന	malayalam
આકર્ષણ	gujarati
ಶಾಲೆಗಳಲ್ಲಿ	kannada
કાંઠે	gujarati
ನಾರ್ತ್	kannada
മെക്സിക്കോ	malayalam
బ్రిటన్	telugu
ഔട്ട്	malayalam
ಹಂತಗಳಲ್ಲಿ	kannada
ਪੜ੍ਹਿਆ	punjabi
யை	tamil
सोहळा	deva
பிரித்தானியக்	tamil
ਸਾਧੂ	punjabi
ਖੰਨਾ	punjabi
ডাবল	ben_ass
Mongolia	latin
जीभ	deva
কোণ	ben_ass
ನವೀನ	kannada
ਜਵਾਨੀ	punjabi
কাজল	ben_ass
ராகுல்	tamil
मृत्युको	deva
சீனப்	tamil
سليم	arabic
पायथ्याशी	deva
ಆಕರ್ಷಕ	kannada
১৫টি	ben_ass
ભાષાઓમાં	gujarati
ఉచిత	telugu
kol	latin
कारगिल	deva
പേരുണ്ട്	malayalam
انس	arabic
آرٹس	arabic
ਹੋਕੇ	punjabi
কঢ়িয়াই	ben_ass
इन्डियन	deva
அடங்குவர்	tamil
ಐಎಸ್	kannada
ਸੋਧ	punjabi
നടത്തിയിരുന്ന	malayalam
ಕಥೆಗಳ	kannada
کمیت	arabic
గ్రామపంచాయతి	telugu
స్థాపించి	telugu
পরগণা	ben_ass
excellence	latin
செய்வதன்	tamil
ಮಾದರಿಗಳನ್ನು	kannada
ਬਿਲੀਅਨ	punjabi
முக்கியக்	tamil
భీష్ముడు	telugu
நடத்தியது	tamil
ಗೇಮ್ಸ್	kannada
ఎదురు	telugu
jaatir	latin
1966ع	arabic
মামলায়	ben_ass
