Word	Count
राज्यात निरभ्र आकाश असल्याने तापमानात वाढ होऊ लागली आहे. सोमवारी (ता. १०) सकाळपर्यंतच्या २४ तासांमध्ये चंद्रपूर येथे राज्यातील उच्चांकी ३३.६ अंश सेल्सिअस तापमानाची नोंद झाली. जळगाव, बुलडाणा, ब्रह्मपुरी, चंद्रपूर येथे तापमान ३३ अंशांवर तर मालेगाव, सोलापूर, डहाणू, नागपूर, यवतमाळ येथे तापमान ३२ अंशांवर गेले आहे. तर राज्यात ढगाळ हवामानामुळे उकाड्यातही वाढ झाली अाहे.	1
राज्य में आसमान साफ ​​होने के साथ तापमान बढ़ने लगा है। चंद्रपुर में सोमवार सुबह तक पिछले 24 घंटों में राज्य का सबसे अधिक तापमान 33.6 डिग्री सेल्सियस दर्ज किया गया। जलगांव, बुलदाना, ब्रह्मपुरी और चंद्रपुर में तापमान 33 डिग्री तक पहुंच गया है जबकि मालेगांव, सोलापुर, दहानू, नागपुर और यवतमाल में यह 32 डिग्री तक चला गया है। राज्य में बादल छाए रहने के कारण उकाड़ा भी बढ़ गया है।	2
याप्रसंगी अखिल भारतीय मराठी साहित्य महामंडळाचे उपाध्यक्ष आणि मराठी साहित्य मंडळाचे अध्यक्ष प्रा. भालचंद्र शिंदे यानी अध्यक्षस्थान भूषवले. याप्रसंगी बोलताना त्यानी यापुढचे मराठी साहित्य हे सताळकरांसारख्या नव्या उमेदीच्या लेखकांकडून येईल असे सांगितले. त्याचप्रमाणे इंग्रजी साहित्याची जाणीब मराठी वाचकात रूजली पाहिजे तसेच वेगवेगळ्या भाषातल्या साहित्याची देवाणघेवाण ही आपल्या साहित्याला आणि संस्कृतीला समूद्ध करेल असे सांगितले.	1
इस अवसर पर अखिल भारतीय मराठी साहित्य महामंडल के उपाध्यक्ष और मराठी साहित्य मंडल के अध्यक्ष प्रा। भालचंद्र शिंदे ने समारोह की अध्यक्षता की। इस अवसर पर बोलते हुए, उन्होंने कहा कि अगला मराठी साहित्य सत्ल्कर जैसे नए महत्वाकांक्षी लेखकों से आएगा। उन्होंने यह भी कहा कि अंग्रेजी साहित्य की जागरूकता मराठी पाठकों में निहित होनी चाहिए और विभिन्न भाषाओं में साहित्य का आदान-प्रदान हमारे साहित्य और संस्कृति को समृद्ध करेगा।	2
कोवान यांच्यावर कावेरी पाणी व्यवस्थापन मंडळाची स्थापना न केल्याने करण्यात आलेल्या विरोध प्रदर्शनात त्यांनी पंतप्रधान नरेंद्र मोदी आणि भाजपावर टीका करत एक गाणे गायल होते, असा आरोप आहे. हे गाणे प्रचंड व्हायरल झाले होते. मिळालेल्या माहितीनुसार, शुक्रवारी जेव्हा पोलीस कोवान यांना अटक करण्यासाठी पोहोचले तेव्हा मित्र आणि कुटुंबियांनी अटक करण्यातं कारण विचारला असता त्यांची शाब्दिक चकमक झाली. प्रकरण हातघाई करण्यापर्यंतही गेलं होतं. पण अखेर पोलीस अटक करण्यात यशस्वी झाले.	1
आरोप है कि कोवान ने जल प्रबंधन बोर्ड की स्थापना नहीं किए जाने के विरोध के दौरान प्रधानमंत्री नरेंद्र मोदी और भाजपा की आलोचना करते हुए एक गीत गाया। गाना खूब वायरल हुआ। खबरों के अनुसार, जब पुलिस शुक्रवार को कोवान को गिरफ्तार करने के लिए पहुंची, तो दोस्तों और परिवार के लोगों ने उसकी गिरफ्तारी का कारण पूछने पर मौखिक रूप से विवाद किया। मामला इतना आगे भी बढ़ गया था कि हाथ मिलाना पड़ा। लेकिन आखिरकार पुलिस गिरफ्तारी करने में कामयाब रही।	2
हिंजवडी माण येथील बापूजी बुवा मंदिराच्या वरील बाजूच्या डोंगरावर गळा चिरलेल्या अवस्थेत अज्ञात तरुणाचा मृतदेह आढळून आला. ही घटना आज सकाळी ११ वाजण्याच्या सुमारास उघडकीस आली. याबाबत पोलिसांना माहिती मिळाली असून अधिक तपास सुरु आहे.	1
एक अज्ञात युवक का शव हिंजवड़ी मान स्थित बापूजी बुवा मंदिर के ऊपर पहाड़ी पर गला रेतकर मिला था। आज सुबह करीब 11 बजे यह घटना सामने आई। पुलिस को इस बारे में जानकारी मिली है और आगे की जांच जारी है।	2
'साहित्यात समाजाचे प्रतिबिंब येत असते. त्यामुळे त्यातील अनेक अनुभव प्रेरणा देणारे ठरतात. म्हणजेच एका अर्थाने साहित्य जगण्याची प्रेरणा देते,' असे प्रतिपादन ज्येष्ठ लेखक डॉ. अनिल अवचट यांनी केले.	1
'साहित्य समाज का दर्पण होता है। इतने सारे अनुभव प्रेरणादायक हैं। एक अर्थ में, साहित्य जीने के लिए प्रेरित करता है, 'मुखर वरिष्ठ लेखक डॉ। अनिल अवचेत द्वारा प्रस्तुत किया गया।	2
या दोन्ही पैलवानांची महाराष्ट्र केसरी स्पर्धेनंतरची ही पहिली कुस्ती होत आहे. राहुल काळभोर यांच्या नेतृत्वाखालील लोणी काळभोर ग्रामस्थांच्या प्रयत्नांना याकामी यश मिळाले असून ही कुस्ती तसेच संपूर्ण आखाडा दर्जेदार व्हावा, कुस्तीगीर व प्रेक्षकांत देण्यात येणाऱ्या सुविधांमध्ये कुठे कमतरता राहू नये यकारिता लोणी काळभोर येथे जय्यत तयारी केली जात आहे.	1
महाराष्ट्र केसरी प्रतियोगिता के बाद इन दोनों पहलवानों का यह पहला कुश्ती मैच है। राहुल कलभोर के नेतृत्व में लोनी कल्बोर ग्रामीणों के प्रयास सफल रहे हैं और लोनी कल्बोर में तैयारी की जा रही है ताकि यह सुनिश्चित किया जा सके कि कुश्ती के साथ-साथ पूरा अखाड़ा उच्च कोटि का हो और पहलवानों को दी जाने वाली सुविधाओं की कोई कमी न हो। दर्शक।	2
पुणे : राष्ट्रीय किसान महासंघाने पुकारलेल्या शेतकरी संपात राज्यातील काही जिल्ह्यांत दुसऱ्या दिवशीही ठिकठिकाणी प्रतिसाद मिळाला. महत्त्वाच्या मुंबई, नाशिक बाजार समित्यांत आवक मोठ्या प्रमाणात घटली आहे. पुण्यात शनिवारी (ता.२) बाजार समितीस सुटी असल्याने आज (ता.३) आवकेवर परिणाम होण्याची शक्यता व्यक्त केली जात आहे. दुसरीकडे शेतकरी संघर्ष समितीने ७ जूनपासून आंदोलनात उतरण्याची घोषणा केल्याने संपाची तीव्रता वाढणार आहे.	1
पुणे: किसानों के राष्ट्रीय महासंघ द्वारा बुलाए गए किसानों की हड़ताल को राज्य के कुछ जिलों में दूसरे दिन भी प्रतिक्रिया मिली। महत्वपूर्ण मुंबई, नाशिक मार्केट समितियों ने राजस्व में भारी गिरावट देखी है। जैसा कि बाजार समिति शनिवार (पुणे 2) को पुणे में छुट्टी पर है, यह व्यक्त किया जा रहा है कि आज (थू 3) आगमन को प्रभावित करेगा। दूसरी ओर, 7 जून से आंदोलन में शामिल होने के लिए किसान संघर्ष समिति की घोषणा के साथ, हड़ताल की तीव्रता बढ़ जाएगी।	2
कल्याण - रेल्वे परीक्षा भरती गोंधळाविरोधात विद्यार्थ्यांनी आज (मंगळवार) सकाळी सात वाजल्यापासून साडेतीन तास रोखून धरलेली मध्ये रेल्वेची वाहतूक रेल्वे प्रशासनाकडून देण्यात आलेल्या लेखी आश्वासनानंतर पूर्ववत झाली. परंतु, याचा फटका रस्त्यावरील वाहतुकीवर पडत कल्याण मधील वाहतूक ही कोलमडली होती.	1
कल्यान: रेलवे प्रशासन की ओर से लिखित आश्वासन के बाद रेलवे परीक्षा भर्ती घोटाले के विरोध में छात्रों को आज (मंगलवार) सुबह 7 बजे से साढ़े तीन घंटे तक हिरासत में रखने के बाद रेलवे यातायात बहाल कर दिया गया। हालांकि, इससे सड़क यातायात प्रभावित हुआ और कल्याण में यातायात ध्वस्त हो गया।	2
ही टीम २०१४ पासून या मोहिमेचे प्रशिक्षण घेत होती. दरम्यान, महादेई व तारिणी नौकांनी २० हजार सागरी मैल अंतर कापले. तारिणीने ८ हजार मैलांचा प्रवास केला. ते मॉरिशसला दाेनदा जाऊन आले.	1
टीम 2014 से अभियान के लिए प्रशिक्षण ले रही थी। इस बीच, महादेई और तारिणी नौकाओं ने 20,000 समुद्री मील की दूरी तय की। तारिणी ने 8,000 मील की यात्रा की। वह दिन में दो बार मॉरीशस आए।	2
आंतरराष्ट्रीय पातळीवर दूध निर्यातीत भारताचे योगदान हे अत्यल्प आहे. त्यात १५ ते २० टक्क्यांनी वाढ करण्याची गरज असून शेतकऱ्यांना त्यासाठी प्रोत्साहन द्यायला हवे असे ते म्हणाले. कच्या दूधाचा दर्जा, पुरवठ्यात सातत्., पॅकेजिंग पद्धती या गोष्टींवरही भर द्यायला हवा, असे त्यांनी सांगितले.	1
अंतर्राष्ट्रीय दूध निर्यात में भारत का योगदान नगण्य है। उन्होंने कहा कि इसे 15 से 20 फीसदी तक बढ़ाने की जरूरत है और किसानों को ऐसा करने के लिए प्रोत्साहित किया जाना चाहिए। कच्चे दूध की गुणवत्ता, आपूर्ति में निरंतरता, पैकेजिंग के तरीकों पर भी जोर दिया जाना चाहिए।	2
03 नोव्हेंबर : स्वाभिमानी शेतकरी संघटनेच्या वतीनं आज तुळजापूर तहसील कार्यालयासमोर सहकार मंत्री सुभाष देशमुख, कृषी मंत्री पांडुरंग फुंडकर यांच्या प्रतिकात्मक पुतळ्याला जोडे मारून पुतळ्याचं दहन करण्यात आलं.राज्य शासनाने शेतकऱ्याच्या सोयाबीन उडीद ,मुग या पिकाच्या खरेदीसाठी हमी भाव केंद्र सुरू केली. मात्र खरेदी केंद्रावर शेतकऱ्यांची प्रचंड अडवणूक चालू आहे. उस्मानाबाद जिल्ह्यात आतापर्यंत पावणे पाच हजार शेतकऱ्यांनी सोयाबीन, उडीद खरेदीच्या नोंदी केल्या. आजतागायत केवळ 250 शेतकऱ्याच्या मालाची खरेदी करण्यात आलीये.त्यातच शासनाने आता एक नवीन परिपत्रक काढलंय. त्यात शेतकऱ्याला सोयाबीन आणि उडीद घालताना मर्यादा घालून दिल्या. त्यात तुळजापुर तालुक्यासाठी उडीद 180 किलो तर मूग 166 किलो अशा मर्यादा घातल्या आहेत. त्यामुळे शेतकऱ्यांची प्रचंड अडचण होतेय. याचं मुद्द्याला स्वाभिमानी शेतकरी संघटनेने आज हे आंदोलन केलं.	1
03 नवंबर: स्वाभिमानी शेतकारी संगठन की ओर से आज तुलजापुर तहसील के सामने सहकारिता मंत्री सुभाष देशमुख और कृषि मंत्री पांडुरंग फुंडकर की प्रतीकात्मक प्रतिमा को जलाया गया। राज्य सरकार ने सोयाबीन उड़द की खरीद के लिए एक गारंटी मूल्य केंद्र शुरू किया है। और मग। लेकिन शॉपिंग सेंटर पर किसानों के लिए एक बड़ी बाधा है। उस्मानाबाद जिले में पांच हजार किसानों ने अभी तक सोयाबीन और उड़द की खरीद के लिए पंजीकरण कराया है। आज तक, केवल 250 किसानों का माल खरीदा गया है। सरकार ने अब एक नया परिपत्र जारी किया है। इसने किसानों को सोयाबीन और उड़द बोने से भी रोका। तुलजापुर तालुका की सीमा 180 किलोग्राम उड़द और 166 किलोग्राम हरे चने की है। यह किसानों के लिए बहुत बड़ी समस्या है। स्वाभिमानी शेतकरी संगठन ने आज इस आंदोलन का आयोजन किया।	2
कसे जाल - सातारा-बामणोली हे अंतर ३५ किलोमीटर आहे. साताऱ्याहून बस आहेत. मात्र, स्वतःचे वाहन घेऊन जाणे चांगले.	1
वहां कैसे जाएं - सतारा और बामनोली के बीच की दूरी 35 किलोमीटर है। सतारा से बसें हैं। हालांकि, अपना खुद का वाहन लेना बेहतर है।	2
राफेल विमानाच्या खरेदी संदर्भात झालेल्या वादामुळे रिलायन्स अनिल अंबानी समूह (एडीएजी) हा एक चर्चेचा विषय बनला आहे. परंतु, यूपीए सरकारच्या काळात (2004 ते 2014 दरम्यान) अनिल अंबानींच्या कंपन्यांनी कोणत्या महत्त्वाच्या प्रकल्पांवर काम केले, याचा धांडोळा घेतला असता कॉंग्रेसच्या नेतृत्वातील यूपीए सरकारनेच अंबानींवर विविध प्रकल्पांचा वर्षाव केल्याचे दिसून येते. ही एकत्रित रक्‍कम एक लाख कोटी रुपये इतकी प्रचंड आहे.	1
रिलायंस अनिल अंबानी ग्रुप (ADAG) राफेल विमानों की खरीद के विवाद के कारण चर्चा का विषय बन गया है। हालांकि, जब यह यूपीए सरकार (2004 से 2014) के दौरान अनिल अंबानी की कंपनियों द्वारा किए गए महत्वपूर्ण परियोजनाओं की बात आती है, तो यह स्पष्ट है कि कांग्रेस के नेतृत्व वाली यूपीए सरकार ने अंबानी पर विभिन्न परियोजनाओं की बारिश की है। यह संयुक्त राशि एक लाख करोड़ रुपये की है।	2
औरंगाबाद: नवरात्रोत्सवाच्या पहिल्या - दुसऱ्या दिवसापासून पाऊस अनेक ठिकाणांहून गायब झाला आहे. अर्थात पावसाने परतीचे मार्ग धरल्याची चिन्हे स्पष्ट÷झाल्याचे एमजीएमच्या खगोलशास्त्र व अंतराळ केंद्राचे प्रमुख श्रीनिवास औंधकर यांनी "सकाळ'शी बोलताना सांगितले.	1
औरंगाबाद: नवरात्रि त्योहार के पहले और दूसरे दिन से कई जगहों से बारिश गायब हो गई है। बेशक, इस बात के स्पष्ट संकेत हैं कि बारिश, एमजीएम के खगोल विज्ञान और अंतरिक्ष केंद्र के प्रमुख श्रीनिवास औंधकर ने सकाल से बात करते हुए कहा।	2
२५ जून २००६ : ‘लष्कर’ने बाँबरना भारतात घुसवले. नेपाळ सीमेमार्गे कमाल अन्सारीने दोघा पाकिस्तानींना, अब्दुल माजीदने पाच जणांना बांगलादेश मार्गे आणि चौघांना कच्छमार्गे भारतात आणले.	1
