Word	Count
राजधानीतल्या चाणक्‍यपुरी या कूटनीती परिसरात किंवा ‘डिप्लोमॅटिक एन्क्‍लेव्ह’ म्हणून ओळखल्या जाणाऱ्या भागात असलेल्या ताज पॅलेस या भव्य पंचतारांकित हॉटेलात विराट कोहली व अनुष्का शर्मा यांच्या विवाहाचा स्वागत समारंभ पार पडला.	1
Virat Kohli and Anushka Sharma's wedding reception was held at the Taj Palace, a magnificent five-star hotel in the capital's Chanakyapuri diplomatic area or in what is known as the 'Diplomatic Enclave'.	2
एअरपोर्ट ऑथॉरिटीची मैफल रद्द केल्यानंतर पाऊलवृत्तसंस्था, नवी दिल्लीकर्नाटक संगीतातील ख्यातनाम गायक टीएम कृष्णा यांची एअरपोर्ट ऑथॉरिटीतर्फे नवी ...	1
After the cancellation of the Airport Authority's concert, Paul Airport News Agency, New Delhi Karnataka Airport's famous singer TM Krishna's new ...	2
सिक्योमोर डिव्हाइस ऑनलाईन स्टोअर्समध्ये १५७५ रूपयांत खरेदी करता येऊ शकते. या उपकरणाची खास बाब म्हणजे सिक्योमोर इंटरनेटशिवाय वापरता येऊ शकणार आहे. याद्वारे हिंदुस्थानात कुठेही लोकेशन ट्रॅक करता येऊ शकते. या डिव्हाइसची ऑनलाईन किंमत २४२९ रूपये आहे. परंतु, आता सूट मिळून १५७५ रूपयांत खरेदी करता येऊ शकते. किचेन सारख्या दिसणाऱ्या या डिव्हाइसमध्ये रिचार्जेबल बॅटरी असून ३ दिवसांपर्यंत चालणारा बॅटरी बॅकअप आहे. हे उपकरण वॉटरप्रुफ आहे. यामध्ये एक मायक्रोफोन देण्यात आला आहे. या मायक्रोफोनद्वारे डिव्हाइस जिथे असेल, तिथल्या सर्व गोष्टी आपल्या मोबाईल फोनमधून ऐकू येऊ शकतात.	1
The Sicomore device can be purchased at online stores for Rs 1,575. The special feature of this device is that Sicomore can be used without internet. With this, location can be tracked anywhere in India. The online price of this device is Rs 2429. But, now you can buy it at a discount of Rs 1,575. This kitchen-like device has a rechargeable battery and a battery backup of up to 3 days. This device is waterproof. It has a microphone. With this microphone, everything can be heard from your mobile phone wherever the device is.	2
विधीमंडळात माहिती देताना अर्थमंत्री सुधीर मुनगंटीवार म्हणाले, “मधुमेह , हृदयरोग आणि कर्करोगाच्या औषधांवरील जीएसटी कर १२ टक्क्यांवरून वरून ५ टक्क्यांवर आण्यासाठी सरकार जीएसटी काउंसिलला विनंती करणार आहे. या आधी सुद्धा औषधांवरील जीएसटी कर कमी करण्याची विनंती सरकारने केली होती.”	1
Informing the legislature, Finance Minister Sudhir Mungantiwar said, "The government will request the GST Council to increase the GST tax on diabetes, heart disease and cancer drugs from 12 per cent to 5 per cent. Earlier, the government had called for a reduction in GST on drugs.	2
या सगळ्या भुक्कडगिरीच्या पदोपदी येणाऱ्या अनुभवातून एक मात्र अत्यंत खेदानं नमूद करतेय की, दिवसेंदिवस सामाजिक बांधिलकी, आपला देश, आपले लोक ही भावनाच आटत चाललीये. जो दुसऱ्यासाठी जगला तो देव. जो स्वतःपुरतेच जगला तो मानव, पण जो दुसऱ्याचे ओरबाडून जगला तो मात्र राक्षस सैतान.	1
One of the saddest things that comes out of the gradual experience of all this is that day by day, the feeling of social commitment, our country, our people is disappearing. He who lives for another is God. The one who lives for himself is a human, but the one who lives for another is the demon Satan.	2
मुंबईवरून मुंबई-गोवा महामार्गाने पनवेल-वडखळ-माणगांव-लोणेरे-भरणे नाका(खेड) येथून परशुराम घाटामार्गे चिपळूण-संगमेश्वर-निवळी फाटा(गणपतीपुळे)-हातखंबा-रत्नागिरी असेही जाता येते. अंतर - ३४७ कि. मी.	1
From Mumbai, Mumbai-Goa Highway can be reached from Panvel-Vadkhal-Mangaon-Lonere-Bharne Naka (Khed) via Parshuram Ghat to Chiplun-Sangameshwar-Nivli Fata (Ganpatipule) -Hatkhamba-Ratnagiri. Distance - 347 km. I	2
पालकमंत्र्यांवर टीका करताना राणे म्हणाले, गेल्या चार वर्षांत जिल्हय़ाला 10 वर्षांनी पालकमंत्र्यांनी मागे नेले. महामार्ग, राज्यमार्ग, इतर जिल्हामार्ग, प्रमुख जिल्हा मार्ग या सर्वच रस्त्यांची दुरवस्था झालेली असताना पालकमंत्र्यांना हे दिसत नाही. कारण पालकमंत्री सावंतवाडी सोडून जिल्हय़ात फिरकतच नाहीत. हायवेच्या दुरवस्थेबाबत ठेकेदार व शासनाच्या विरोधात प्रत्येक तालुक्यातील स्वाभिमानचे पदाधिकारी पोलिसांत तक्रार देतील. पाटबंधारे प्रकल्प व रस्त्यांच्या कामांना निधी नाही. आरोग्य विभागाची अवस्था दयनीय आहे. स्वप्नातले सुपरस्पेशालिस्ट हॉस्पिटल बांधाल, तेव्हा बांधाल तोपर्यंत, शासकीय रुग्णालयातील बंद पडलेली मशिनरी व अपुरा कर्मचारीवर्ग तरी आणा. सिंधुदुर्ग जि. प.ने 48 कोटीच्या रस्ते दुरुस्तीचे प्रस्ताव शासनाकडे पाठविले. त्याला केवळ साडेतीन कोटीचा निधी देण्यात आला. गावांमध्ये असलेली तलाठी कार्यालये हे ग्रामस्थांसाठी, की तलाठय़ांच्या उत्पन्नासाठी हे पालकमंत्र्यांनी पाहवे. ग्रामस्थांना 7/12 मिळत नाहीत, नोंदी होत नाही, अशी स्थिती जिल्हय़ात निर्माण झाली आहे.	1
