Word	Label
और, उह, परन्तु, उह, मैं सोचूंगा, रात में मैं सो नहीं पाऊंगा. मैं बुरे सपने देखता रहा जिसने मुझे सोने से रोका।	0
And, uh, but, uh, I'll think, I won't be able to sleep at night. I kept having nightmares that prevented me from sleeping.	1
असली कार्य के करीब और अभी भी क्लोन्डीक दिनों की सबसे ज्वलंत गवाही प्रदान करते हुए, डावसन सिटी के बूमटाउन ने १९५१ में व्हाइटहॉर्स के परिवहन और संचार केंद्र के रूप में क्षेत्रीय राजधानी के रूप में सफल हुआ। व्हाइटहॉर्स मुख्य रूप से परिवहन के लिए घोड़े के गाड़ियां इस्तेमाल करता था।	0
Closer to the real work and still providing the most vivid testimony of the Clondic days, Boomtown of Dawson City succeeded Whitehorse as the regional capital in 1951 as the transportation and communications center of Whitehorse. Whitehorse mainly used horse carts for transportation.	1
आस्था, आप एक फैशन के बाद अपने आप को समझाते हैं, उन्होंने कहा। उन्होंने कहा कि कुछ समय बाद एक स्पष्टीकरण की पेशकश की जाती है।	0
Aastha, you explain yourself after a fashion, he said. He said that after some time an explanation is offered.	1
खुफिया रिपोर्ट देखें, केएसएम की पूछताछ, 1 जुलाई, 2003; 5 सितंबर 2003। पकड़े जाने से बचने की कोशिश करते हुए 2002 में खालिद शेख मोहम्मद (केएसएम) मारा गया था।	0
See Intelligence Report, Interrogation of KSM, July 1, 2003; 5 September 2003. Khalid Sheikh Mohammed (KSM) was killed in 2002 while trying to avoid being caught.	1
सरोनिक द्वीपों का एक लंबा मौसम होता है जो अप्रैल से अक्टूबर तक फैला होता है। सरोनिक द्वीपसमूह में कोई मौसम नहीं है	0
The Saronic Islands have a long season that extends from April to October. There is no weather in the Saronic Islands	1
96 और वे माता-पिता और प्रशिक्षक जो प्रोत्साहित करने के बजाय आलोचना करते हैं और खिलाड़ियों को हार को भुलाने नही देते हैं कुछ युवाओं में अत्यधिक दुष्चिन्ता को बढ़ावा देते  हैं। कोच को युवा खिलाड़ियों को कठिन समय में नहीं डालना चाहिए।	0
96 And those parents and coaches who criticize rather than encourage and do not let the players forget the defeat foster extreme anxiety among some youth. Coaches should not put young players in tough times.	1
मेरा मतलब यह है कि मेरे पास घडी थी और मेरे जूते थे और सारी झाडियां सफेद रंग की हो गई जब इसने मेरे जूते ढक दिए तो यह परेशानी भरा था।	0
What I mean is that I had a watch and my shoes and all the bushes turned white It was troublesome when it covered my shoes.	1
द नेशनल थिएटर और कॉन्सर्ट हॉल, फोन नंबर 01-7282333, जो आमतौर पर मेगारोन के नाम से जाना जाता है, वास पर स्थित है मेगरॉन एक रेलवे स्टेशन है	0
The National Theater and Concert Hall, phone number 01-7282333, commonly known as Megaron, is located at Vas Megaron is a railway station	1
नहीं नाओमी वुल्फ का गलत जवाब नाओमी वुल्फ का जवाब था।	0
